user_id, ip_addr, ts
1, 127.0.0.1, 17:52:64
1, 127.0.0.2, 17:53:64
1, 127.0.0.1, 17:51:63
2, 127.0.0.1, 17:52:63
1, 127.0.0.1, 17:52:63
1, 127.0.0.2, 17:53:63
2, 127.0.0.2, 17:54:63
2, 127.0.0.3, 17:55:63
3, 127.0.0.3, 17:55:63
3, 127.0.0.1, 17:56:63
4, 127.0.0.1, 17:57:63
1, 127.0.0.1, 17:51:64
2, 127.0.0.1, 17:52:64
1, 127.0.0.1, 17:52:64
1, 127.0.0.2, 17:53:64
2, 127.0.0.2, 17:54:64
2, 127.0.0.3, 17:55:64
3, 127.0.0.3, 17:55:64
3, 127.0.0.1, 17:56:64
4, 127.0.0.1, 17:57:64
1, 127.0.0.1, 17:51:65
2, 127.0.0.1, 17:52:65
1, 127.0.0.1, 17:52:65
1, 127.0.0.2, 17:53:65
1, 127.0.0.1, 17:51:64
2, 127.0.0.1, 17:52:64
1, 127.0.0.1, 17:52:64
1, 127.0.0.2, 17:53:64
2, 127.0.0.2, 17:54:64
2, 127.0.0.3, 17:55:64
3, 127.0.0.3, 17:55:64
3, 127.0.0.1, 17:56:64
4, 127.0.0.1, 17:57:64
1, 127.0.0.1, 17:51:65
2, 127.0.0.1, 17:52:65
1, 127.0.0.1, 17:52:65
1, 127.0.0.2, 17:53:65
1, 127.0.0.1, 17:51:64
2, 127.0.0.1, 17:52:64
1, 127.0.0.1, 17:52:64
1, 127.0.0.2, 17:53:64
2, 127.0.0.2, 17:54:64
2, 127.0.0.3, 17:55:64
3, 127.0.0.3, 17:55:64
3, 127.0.0.1, 17:56:64
4, 127.0.0.1, 17:57:64
1, 127.0.0.1, 17:51:65
2, 127.0.0.1, 17:52:65
1, 127.0.0.1, 17:52:65
1, 127.0.0.2, 17:53:65
2, 127.0.0.2, 17:54:65
2, 127.0.0.3, 17:55:65
3, 127.0.0.3, 17:55:65
3, 127.0.0.1, 17:56:65
4, 127.0.0.1, 17:57:65
1, 127.0.0.1, 17:51:66
2, 127.0.0.1, 17:52:66
1, 127.0.0.1, 17:52:66
1, 127.0.0.2, 17:53:66
1, 127.0.0.1, 17:51:65
2, 127.0.0.1, 17:52:65
1, 127.0.0.1, 17:52:65
1, 127.0.0.2, 17:53:65
2, 127.0.0.2, 17:54:65
2, 127.0.0.3, 17:55:65
3, 127.0.0.3, 17:55:65
3, 127.0.0.1, 17:56:65
4, 127.0.0.1, 17:57:65
1, 127.0.0.1, 17:51:66
2, 127.0.0.1, 17:52:66
1, 127.0.0.1, 17:52:66
1, 127.0.0.2, 17:53:66
1, 127.0.0.1, 17:51:65
2, 127.0.0.1, 17:52:65
1, 127.0.0.1, 17:52:65
1, 127.0.0.2, 17:53:65
2, 127.0.0.2, 17:54:65
2, 127.0.0.3, 17:55:65
3, 127.0.0.3, 17:55:65
3, 127.0.0.1, 17:56:65
4, 127.0.0.1, 17:57:65
1, 127.0.0.1, 17:51:66
2, 127.0.0.1, 17:52:66
1, 127.0.0.1, 17:52:66
1, 127.0.0.2, 17:53:66
2, 127.0.0.2, 17:54:66
2, 127.0.0.3, 17:55:66
3, 127.0.0.3, 17:55:66
3, 127.0.0.1, 17:56:66
4, 127.0.0.1, 17:57:66
1, 127.0.0.1, 17:51:67
2, 127.0.0.1, 17:52:67
1, 127.0.0.1, 17:52:67
1, 127.0.0.2, 17:53:67
1, 127.0.0.1, 17:51:66
2, 127.0.0.1, 17:52:66
1, 127.0.0.1, 17:52:66
1, 127.0.0.2, 17:53:66
2, 127.0.0.2, 17:54:66
2, 127.0.0.3, 17:55:66
3, 127.0.0.3, 17:55:66
3, 127.0.0.1, 17:56:66
4, 127.0.0.1, 17:57:66
1, 127.0.0.1, 17:51:67
2, 127.0.0.1, 17:52:67
1, 127.0.0.1, 17:52:67
1, 127.0.0.2, 17:53:67
1, 127.0.0.1, 17:51:66
2, 127.0.0.1, 17:52:66
1, 127.0.0.1, 17:52:66
1, 127.0.0.2, 17:53:66
2, 127.0.0.2, 17:54:66
2, 127.0.0.3, 17:55:66
3, 127.0.0.3, 17:55:66
3, 127.0.0.1, 17:56:66
4, 127.0.0.1, 17:57:66
1, 127.0.0.1, 17:51:67
2, 127.0.0.1, 17:52:67
1, 127.0.0.1, 17:52:67
1, 127.0.0.2, 17:53:67
2, 127.0.0.2, 17:54:67
2, 127.0.0.3, 17:55:67
3, 127.0.0.3, 17:55:67
3, 127.0.0.1, 17:56:67
4, 127.0.0.1, 17:57:67
1, 127.0.0.1, 17:51:68
2, 127.0.0.1, 17:52:68
1, 127.0.0.1, 17:52:68
1, 127.0.0.2, 17:53:68
1, 127.0.0.1, 17:51:67
2, 127.0.0.1, 17:52:67
1, 127.0.0.1, 17:52:67
1, 127.0.0.2, 17:53:67
2, 127.0.0.2, 17:54:67
2, 127.0.0.3, 17:55:67
3, 127.0.0.3, 17:55:67
3, 127.0.0.1, 17:56:67
4, 127.0.0.1, 17:57:67
1, 127.0.0.1, 17:51:68
2, 127.0.0.1, 17:52:68
1, 127.0.0.1, 17:52:68
1, 127.0.0.2, 17:53:68
1, 127.0.0.1, 17:51:67
2, 127.0.0.1, 17:52:67
1, 127.0.0.1, 17:52:67
1, 127.0.0.2, 17:53:67
2, 127.0.0.2, 17:54:67
2, 127.0.0.3, 17:55:67
3, 127.0.0.3, 17:55:67
3, 127.0.0.1, 17:56:67
4, 127.0.0.1, 17:57:67
1, 127.0.0.1, 17:51:68
2, 127.0.0.1, 17:52:68
1, 127.0.0.1, 17:52:68
1, 127.0.0.2, 17:53:68
2, 127.0.0.2, 17:54:68
2, 127.0.0.3, 17:55:68
3, 127.0.0.3, 17:55:68
3, 127.0.0.1, 17:56:68
4, 127.0.0.1, 17:57:68
1, 127.0.0.1, 17:51:69
2, 127.0.0.1, 17:52:69
1, 127.0.0.1, 17:52:69
1, 127.0.0.2, 17:53:69
1, 127.0.0.1, 17:51:68
2, 127.0.0.1, 17:52:68
1, 127.0.0.1, 17:52:68
1, 127.0.0.2, 17:53:68
2, 127.0.0.2, 17:54:68
2, 127.0.0.3, 17:55:68
3, 127.0.0.3, 17:55:68
3, 127.0.0.1, 17:56:68
4, 127.0.0.1, 17:57:68
1, 127.0.0.1, 17:51:69
2, 127.0.0.1, 17:52:69
1, 127.0.0.1, 17:52:69
1, 127.0.0.2, 17:53:69
1, 127.0.0.1, 17:51:68
2, 127.0.0.1, 17:52:68
1, 127.0.0.1, 17:52:68
1, 127.0.0.2, 17:53:68
2, 127.0.0.2, 17:54:68
2, 127.0.0.3, 17:55:68
3, 127.0.0.3, 17:55:68
3, 127.0.0.1, 17:56:68
4, 127.0.0.1, 17:57:68
1, 127.0.0.1, 17:51:69
2, 127.0.0.1, 17:52:69
1, 127.0.0.1, 17:52:69
1, 127.0.0.2, 17:53:69
2, 127.0.0.2, 17:54:69
2, 127.0.0.3, 17:55:69
3, 127.0.0.3, 17:55:69
3, 127.0.0.1, 17:56:69
4, 127.0.0.1, 17:57:69
1, 127.0.0.1, 17:51:70
2, 127.0.0.1, 17:52:70
1, 127.0.0.1, 17:52:70
1, 127.0.0.2, 17:53:70
1, 127.0.0.1, 17:51:69
2, 127.0.0.1, 17:52:69
1, 127.0.0.1, 17:52:69
1, 127.0.0.2, 17:53:69
2, 127.0.0.2, 17:54:69
2, 127.0.0.3, 17:55:69
3, 127.0.0.3, 17:55:69
3, 127.0.0.1, 17:56:69
4, 127.0.0.1, 17:57:69
1, 127.0.0.1, 17:51:70
2, 127.0.0.1, 17:52:70
1, 127.0.0.1, 17:52:70
1, 127.0.0.2, 17:53:70
1, 127.0.0.1, 17:51:69
2, 127.0.0.1, 17:52:69
1, 127.0.0.1, 17:52:69
1, 127.0.0.2, 17:53:69
2, 127.0.0.2, 17:54:69
2, 127.0.0.3, 17:55:69
3, 127.0.0.3, 17:55:69
3, 127.0.0.1, 17:56:69
4, 127.0.0.1, 17:57:69
1, 127.0.0.1, 17:51:70
2, 127.0.0.1, 17:52:70
1, 127.0.0.1, 17:52:70
1, 127.0.0.2, 17:53:70
2, 127.0.0.2, 17:54:70
2, 127.0.0.3, 17:55:70
3, 127.0.0.3, 17:55:70
3, 127.0.0.1, 17:56:70
4, 127.0.0.1, 17:57:70
1, 127.0.0.1, 17:51:71
2, 127.0.0.1, 17:52:71
1, 127.0.0.1, 17:52:71
1, 127.0.0.2, 17:53:71
1, 127.0.0.1, 17:51:70
2, 127.0.0.1, 17:52:70
1, 127.0.0.1, 17:52:70
1, 127.0.0.2, 17:53:70
2, 127.0.0.2, 17:54:70
2, 127.0.0.3, 17:55:70
3, 127.0.0.3, 17:55:70
3, 127.0.0.1, 17:56:70
4, 127.0.0.1, 17:57:70
1, 127.0.0.1, 17:51:71
2, 127.0.0.1, 17:52:71
1, 127.0.0.1, 17:52:71
1, 127.0.0.2, 17:53:71
1, 127.0.0.1, 17:51:70
2, 127.0.0.1, 17:52:70
1, 127.0.0.1, 17:52:70
1, 127.0.0.2, 17:53:70
2, 127.0.0.2, 17:54:70
2, 127.0.0.3, 17:55:70
3, 127.0.0.3, 17:55:70
3, 127.0.0.1, 17:56:70
4, 127.0.0.1, 17:57:70
1, 127.0.0.1, 17:51:71
2, 127.0.0.1, 17:52:71
1, 127.0.0.1, 17:52:71
1, 127.0.0.2, 17:53:71
2, 127.0.0.2, 17:54:71
2, 127.0.0.3, 17:55:71
3, 127.0.0.3, 17:55:71
3, 127.0.0.1, 17:56:71
4, 127.0.0.1, 17:57:71
1, 127.0.0.1, 17:51:72
2, 127.0.0.1, 17:52:72
1, 127.0.0.1, 17:52:72
1, 127.0.0.2, 17:53:72
1, 127.0.0.1, 17:51:71
2, 127.0.0.1, 17:52:71
1, 127.0.0.1, 17:52:71
1, 127.0.0.2, 17:53:71
2, 127.0.0.2, 17:54:71
2, 127.0.0.3, 17:55:71
3, 127.0.0.3, 17:55:71
3, 127.0.0.1, 17:56:71
4, 127.0.0.1, 17:57:71
1, 127.0.0.1, 17:51:72
2, 127.0.0.1, 17:52:72
1, 127.0.0.1, 17:52:72
1, 127.0.0.2, 17:53:72
1, 127.0.0.1, 17:51:71
2, 127.0.0.1, 17:52:71
1, 127.0.0.1, 17:52:71
1, 127.0.0.2, 17:53:71
2, 127.0.0.2, 17:54:71
2, 127.0.0.3, 17:55:71
3, 127.0.0.3, 17:55:71
3, 127.0.0.1, 17:56:71
4, 127.0.0.1, 17:57:71
1, 127.0.0.1, 17:51:72
2, 127.0.0.1, 17:52:72
1, 127.0.0.1, 17:52:72
1, 127.0.0.2, 17:53:72
2, 127.0.0.2, 17:54:72
2, 127.0.0.3, 17:55:72
3, 127.0.0.3, 17:55:72
3, 127.0.0.1, 17:56:72
4, 127.0.0.1, 17:57:72
1, 127.0.0.1, 17:51:73
2, 127.0.0.1, 17:52:73
1, 127.0.0.1, 17:52:73
1, 127.0.0.2, 17:53:73
1, 127.0.0.1, 17:51:72
2, 127.0.0.1, 17:52:72
1, 127.0.0.1, 17:52:72
1, 127.0.0.2, 17:53:72
2, 127.0.0.2, 17:54:72
2, 127.0.0.3, 17:55:72
3, 127.0.0.3, 17:55:72
3, 127.0.0.1, 17:56:72
4, 127.0.0.1, 17:57:72
1, 127.0.0.1, 17:51:73
2, 127.0.0.1, 17:52:73
1, 127.0.0.1, 17:52:73
1, 127.0.0.2, 17:53:73
1, 127.0.0.1, 17:51:72
2, 127.0.0.1, 17:52:72
1, 127.0.0.1, 17:52:72
1, 127.0.0.2, 17:53:72
2, 127.0.0.2, 17:54:72
2, 127.0.0.3, 17:55:72
3, 127.0.0.3, 17:55:72
3, 127.0.0.1, 17:56:72
4, 127.0.0.1, 17:57:72
1, 127.0.0.1, 17:51:73
2, 127.0.0.1, 17:52:73
1, 127.0.0.1, 17:52:73
1, 127.0.0.2, 17:53:73
2, 127.0.0.2, 17:54:73
2, 127.0.0.3, 17:55:73
3, 127.0.0.3, 17:55:73
3, 127.0.0.1, 17:56:73
4, 127.0.0.1, 17:57:73
1, 127.0.0.1, 17:51:74
2, 127.0.0.1, 17:52:74
1, 127.0.0.1, 17:52:74
1, 127.0.0.2, 17:53:74
1, 127.0.0.1, 17:51:73
2, 127.0.0.1, 17:52:73
1, 127.0.0.1, 17:52:73
1, 127.0.0.2, 17:53:73
2, 127.0.0.2, 17:54:73
2, 127.0.0.3, 17:55:73
3, 127.0.0.3, 17:55:73
3, 127.0.0.1, 17:56:73
4, 127.0.0.1, 17:57:73
1, 127.0.0.1, 17:51:74
2, 127.0.0.1, 17:52:74
1, 127.0.0.1, 17:52:74
1, 127.0.0.2, 17:53:74
1, 127.0.0.1, 17:51:73
2, 127.0.0.1, 17:52:73
1, 127.0.0.1, 17:52:73
1, 127.0.0.2, 17:53:73
2, 127.0.0.2, 17:54:73
2, 127.0.0.3, 17:55:73
3, 127.0.0.3, 17:55:73
3, 127.0.0.1, 17:56:73
4, 127.0.0.1, 17:57:73
1, 127.0.0.1, 17:51:74
2, 127.0.0.1, 17:52:74
1, 127.0.0.1, 17:52:74
1, 127.0.0.2, 17:53:74
2, 127.0.0.2, 17:54:74
2, 127.0.0.3, 17:55:74
3, 127.0.0.3, 17:55:74
3, 127.0.0.1, 17:56:74
4, 127.0.0.1, 17:57:74
1, 127.0.0.1, 17:51:75
2, 127.0.0.1, 17:52:75
1, 127.0.0.1, 17:52:75
1, 127.0.0.2, 17:53:75
1, 127.0.0.1, 17:51:74
2, 127.0.0.1, 17:52:74
1, 127.0.0.1, 17:52:74
1, 127.0.0.2, 17:53:74
2, 127.0.0.2, 17:54:74
2, 127.0.0.3, 17:55:74
3, 127.0.0.3, 17:55:74
3, 127.0.0.1, 17:56:74
4, 127.0.0.1, 17:57:74
1, 127.0.0.1, 17:51:75
2, 127.0.0.1, 17:52:75
1, 127.0.0.1, 17:52:75
1, 127.0.0.2, 17:53:75
1, 127.0.0.1, 17:51:74
2, 127.0.0.1, 17:52:74
1, 127.0.0.1, 17:52:74
1, 127.0.0.2, 17:53:74
2, 127.0.0.2, 17:54:74
2, 127.0.0.3, 17:55:74
3, 127.0.0.3, 17:55:74
3, 127.0.0.1, 17:56:74
4, 127.0.0.1, 17:57:74
1, 127.0.0.1, 17:51:75
2, 127.0.0.1, 17:52:75
1, 127.0.0.1, 17:52:75
1, 127.0.0.2, 17:53:75
2, 127.0.0.2, 17:54:75
2, 127.0.0.3, 17:55:75
3, 127.0.0.3, 17:55:75
3, 127.0.0.1, 17:56:75
4, 127.0.0.1, 17:57:75
1, 127.0.0.1, 17:51:76
2, 127.0.0.1, 17:52:76
1, 127.0.0.1, 17:52:76
1, 127.0.0.2, 17:53:76
1, 127.0.0.1, 17:51:75
2, 127.0.0.1, 17:52:75
1, 127.0.0.1, 17:52:75
1, 127.0.0.2, 17:53:75
2, 127.0.0.2, 17:54:75
2, 127.0.0.3, 17:55:75
3, 127.0.0.3, 17:55:75
3, 127.0.0.1, 17:56:75
4, 127.0.0.1, 17:57:75
1, 127.0.0.1, 17:51:76
2, 127.0.0.1, 17:52:76
1, 127.0.0.1, 17:52:76
1, 127.0.0.2, 17:53:76
1, 127.0.0.1, 17:51:75
2, 127.0.0.1, 17:52:75
1, 127.0.0.1, 17:52:75
1, 127.0.0.2, 17:53:75
2, 127.0.0.2, 17:54:75
2, 127.0.0.3, 17:55:75
3, 127.0.0.3, 17:55:75
3, 127.0.0.1, 17:56:75
4, 127.0.0.1, 17:57:75
1, 127.0.0.1, 17:51:76
2, 127.0.0.1, 17:52:76
1, 127.0.0.1, 17:52:76
1, 127.0.0.2, 17:53:76
2, 127.0.0.2, 17:54:76
2, 127.0.0.3, 17:55:76
3, 127.0.0.3, 17:55:76
3, 127.0.0.1, 17:56:76
4, 127.0.0.1, 17:57:76
1, 127.0.0.1, 17:51:77
2, 127.0.0.1, 17:52:77
1, 127.0.0.1, 17:52:77
1, 127.0.0.2, 17:53:77
1, 127.0.0.1, 17:51:76
2, 127.0.0.1, 17:52:76
1, 127.0.0.1, 17:52:76
1, 127.0.0.2, 17:53:76
2, 127.0.0.2, 17:54:76
2, 127.0.0.3, 17:55:76
3, 127.0.0.3, 17:55:76
3, 127.0.0.1, 17:56:76
4, 127.0.0.1, 17:57:76
1, 127.0.0.1, 17:51:77
2, 127.0.0.1, 17:52:77
1, 127.0.0.1, 17:52:77
1, 127.0.0.2, 17:53:77
1, 127.0.0.1, 17:51:76
2, 127.0.0.1, 17:52:76
1, 127.0.0.1, 17:52:76
1, 127.0.0.2, 17:53:76
2, 127.0.0.2, 17:54:76
2, 127.0.0.3, 17:55:76
3, 127.0.0.3, 17:55:76
3, 127.0.0.1, 17:56:76
4, 127.0.0.1, 17:57:76
1, 127.0.0.1, 17:51:77
2, 127.0.0.1, 17:52:77
1, 127.0.0.1, 17:52:77
1, 127.0.0.2, 17:53:77
2, 127.0.0.2, 17:54:77
2, 127.0.0.3, 17:55:77
3, 127.0.0.3, 17:55:77
3, 127.0.0.1, 17:56:77
4, 127.0.0.1, 17:57:77
1, 127.0.0.1, 17:51:78
2, 127.0.0.1, 17:52:78
1, 127.0.0.1, 17:52:78
1, 127.0.0.2, 17:53:78
1, 127.0.0.1, 17:51:77
2, 127.0.0.1, 17:52:77
1, 127.0.0.1, 17:52:77
1, 127.0.0.2, 17:53:77
2, 127.0.0.2, 17:54:77
2, 127.0.0.3, 17:55:77
3, 127.0.0.3, 17:55:77
3, 127.0.0.1, 17:56:77
4, 127.0.0.1, 17:57:77
1, 127.0.0.1, 17:51:78
2, 127.0.0.1, 17:52:78
1, 127.0.0.1, 17:52:78
1, 127.0.0.2, 17:53:78
1, 127.0.0.1, 17:51:77
2, 127.0.0.1, 17:52:77
1, 127.0.0.1, 17:52:77
1, 127.0.0.2, 17:53:77
2, 127.0.0.2, 17:54:77
2, 127.0.0.3, 17:55:77
3, 127.0.0.3, 17:55:77
3, 127.0.0.1, 17:56:77
4, 127.0.0.1, 17:57:77
1, 127.0.0.1, 17:51:78
2, 127.0.0.1, 17:52:78
1, 127.0.0.1, 17:52:78
1, 127.0.0.2, 17:53:78
2, 127.0.0.2, 17:54:78
2, 127.0.0.3, 17:55:78
3, 127.0.0.3, 17:55:78
3, 127.0.0.1, 17:56:78
4, 127.0.0.1, 17:57:78
1, 127.0.0.1, 17:51:79
2, 127.0.0.1, 17:52:79
1, 127.0.0.1, 17:52:79
1, 127.0.0.2, 17:53:79
1, 127.0.0.1, 17:51:78
2, 127.0.0.1, 17:52:78
1, 127.0.0.1, 17:52:78
1, 127.0.0.2, 17:53:78
2, 127.0.0.2, 17:54:78
2, 127.0.0.3, 17:55:78
3, 127.0.0.3, 17:55:78
3, 127.0.0.1, 17:56:78
4, 127.0.0.1, 17:57:78
1, 127.0.0.1, 17:51:79
2, 127.0.0.1, 17:52:79
1, 127.0.0.1, 17:52:79
1, 127.0.0.2, 17:53:79
1, 127.0.0.1, 17:51:78
2, 127.0.0.1, 17:52:78
1, 127.0.0.1, 17:52:78
1, 127.0.0.2, 17:53:78
2, 127.0.0.2, 17:54:78
2, 127.0.0.3, 17:55:78
3, 127.0.0.3, 17:55:78
3, 127.0.0.1, 17:56:78
4, 127.0.0.1, 17:57:78
1, 127.0.0.1, 17:51:79
2, 127.0.0.1, 17:52:79
1, 127.0.0.1, 17:52:79
1, 127.0.0.2, 17:53:79
2, 127.0.0.2, 17:54:79
2, 127.0.0.3, 17:55:79
3, 127.0.0.3, 17:55:79
3, 127.0.0.1, 17:56:79
4, 127.0.0.1, 17:57:79
1, 127.0.0.1, 17:51:80
2, 127.0.0.1, 17:52:80
1, 127.0.0.1, 17:52:80
1, 127.0.0.2, 17:53:80
1, 127.0.0.1, 17:51:79
2, 127.0.0.1, 17:52:79
1, 127.0.0.1, 17:52:79
1, 127.0.0.2, 17:53:79
2, 127.0.0.2, 17:54:79
2, 127.0.0.3, 17:55:79
3, 127.0.0.3, 17:55:79
3, 127.0.0.1, 17:56:79
4, 127.0.0.1, 17:57:79
1, 127.0.0.1, 17:51:80
2, 127.0.0.1, 17:52:80
1, 127.0.0.1, 17:52:80
1, 127.0.0.2, 17:53:80
1, 127.0.0.1, 17:51:79
2, 127.0.0.1, 17:52:79
1, 127.0.0.1, 17:52:79
1, 127.0.0.2, 17:53:79
2, 127.0.0.2, 17:54:79
2, 127.0.0.3, 17:55:79
3, 127.0.0.3, 17:55:79
3, 127.0.0.1, 17:56:79
4, 127.0.0.1, 17:57:79
1, 127.0.0.1, 17:51:80
2, 127.0.0.1, 17:52:80
1, 127.0.0.1, 17:52:80
1, 127.0.0.2, 17:53:80
2, 127.0.0.2, 17:54:80
2, 127.0.0.3, 17:55:80
3, 127.0.0.3, 17:55:80
3, 127.0.0.1, 17:56:80
4, 127.0.0.1, 17:57:80
1, 127.0.0.1, 17:51:81
2, 127.0.0.1, 17:52:81
1, 127.0.0.1, 17:52:81
1, 127.0.0.2, 17:53:81
1, 127.0.0.1, 17:51:80
2, 127.0.0.1, 17:52:80
1, 127.0.0.1, 17:52:80
1, 127.0.0.2, 17:53:80
2, 127.0.0.2, 17:54:80
2, 127.0.0.3, 17:55:80
3, 127.0.0.3, 17:55:80
3, 127.0.0.1, 17:56:80
4, 127.0.0.1, 17:57:80
1, 127.0.0.1, 17:51:81
2, 127.0.0.1, 17:52:81
1, 127.0.0.1, 17:52:81
1, 127.0.0.2, 17:53:81
1, 127.0.0.1, 17:51:80
2, 127.0.0.1, 17:52:80
1, 127.0.0.1, 17:52:80
1, 127.0.0.2, 17:53:80
2, 127.0.0.2, 17:54:80
2, 127.0.0.3, 17:55:80
3, 127.0.0.3, 17:55:80
3, 127.0.0.1, 17:56:80
4, 127.0.0.1, 17:57:80
1, 127.0.0.1, 17:51:81
2, 127.0.0.1, 17:52:81
1, 127.0.0.1, 17:52:81
1, 127.0.0.2, 17:53:81
2, 127.0.0.2, 17:54:81
2, 127.0.0.3, 17:55:81
3, 127.0.0.3, 17:55:81
3, 127.0.0.1, 17:56:81
4, 127.0.0.1, 17:57:81
1, 127.0.0.1, 17:51:82
2, 127.0.0.1, 17:52:82
1, 127.0.0.1, 17:52:82
1, 127.0.0.2, 17:53:82
1, 127.0.0.1, 17:51:81
2, 127.0.0.1, 17:52:81
1, 127.0.0.1, 17:52:81
1, 127.0.0.2, 17:53:81
2, 127.0.0.2, 17:54:81
2, 127.0.0.3, 17:55:81
3, 127.0.0.3, 17:55:81
3, 127.0.0.1, 17:56:81
4, 127.0.0.1, 17:57:81
1, 127.0.0.1, 17:51:82
2, 127.0.0.1, 17:52:82
1, 127.0.0.1, 17:52:82
1, 127.0.0.2, 17:53:82
1, 127.0.0.1, 17:51:81
2, 127.0.0.1, 17:52:81
1, 127.0.0.1, 17:52:81
1, 127.0.0.2, 17:53:81
2, 127.0.0.2, 17:54:81
2, 127.0.0.3, 17:55:81
